id,date,polarity,subjectivity,compound
438,2009-01-03,-0.04,0.22,-0.62
437,2009-01-03,0.12,0.3,0.54
431,2009-01-03,0.03,0.51,-0.92
439,2009-01-03,0.03,0.2,0.97
432,2009-01-03,0.1,0.45,0.97
443,2009-01-07,0.21,0.59,0.89
440,2009-01-03,0.04,0.44,0.93
442,2009-01-07,0.07,0.46,0.99
444,2009-01-07,0.1,0.45,0.99
446,2009-01-07,0.12,0.48,0.95
447,2009-01-07,0.01,0.33,-0.49
445,2009-01-07,0.07,0.47,-0.03
441,2009-01-07,-0.02,0.26,0.97
448,2009-01-07,0.12,0.39,0.99
451,2009-01-07,0.06,0.39,-0.73
450,2009-01-07,0.15,0.45,1.0
454,2009-01-07,0.07,0.4,0.98
452,2009-01-07,0.07,0.4,-0.99
460,2009-01-07,0.18,0.3,0.98
457,2009-01-07,0.17,0.37,0.97
458,2009-01-07,-0.03,0.33,0.84
456,2009-01-07,0.04,0.38,0.86
459,2009-01-07,0.0,0.31,-0.46
461,2009-01-07,0.04,0.35,0.85
455,2009-01-07,0.06,0.39,0.99
466,2009-01-07,0.08,0.26,0.78
464,2009-01-07,0.07,0.31,0.91
462,2009-01-07,0.06,0.44,0.44
467,2009-01-07,-0.04,0.43,0.79
453,2009-01-07,0.11,0.44,0.91
449,2009-01-07,0.11,0.34,0.98
468,2009-01-07,0.1,0.4,-0.65
471,2009-01-07,0.04,0.36,0.99
463,2009-01-07,-0.03,0.34,0.93
469,2009-01-07,0.12,0.28,0.95
465,2009-01-07,-0.01,0.4,-0.13
473,2009-01-07,0.05,0.34,0.98
470,2009-01-07,0.2,0.34,-0.89
478,2009-01-07,-0.05,0.18,0.6
477,2009-01-07,0.05,0.42,0.98
475,2009-01-07,0.02,0.33,-0.99
479,2009-01-07,0.14,0.39,0.96
483,2009-01-07,-0.08,0.36,-0.17
480,2009-01-07,0.3,0.71,0.89
485,2009-01-07,0.14,0.31,-0.95
472,2009-01-07,0.1,0.3,-1.0
481,2009-01-07,-0.18,0.53,-0.88
476,2009-01-07,-0.06,0.45,0.97
484,2009-01-07,0.11,0.39,0.99
487,2009-01-07,0.0,0.38,0.85
486,2009-01-07,-0.06,0.38,0.61
488,2009-01-07,0.04,0.19,0.85
489,2009-01-07,-0.15,0.33,-0.99
492,2009-01-07,0.04,0.34,0.32
490,2009-01-07,0.03,0.5,-0.9
493,2009-01-07,0.12,0.41,-0.79
491,2009-01-07,0.0,0.4,0.13
496,2009-01-07,0.09,0.26,0.97
495,2009-01-07,0.13,0.46,0.99
497,2009-01-07,0.15,0.45,0.44
494,2009-01-07,-0.18,0.55,0.53
498,2009-01-07,0.11,0.32,0.95
500,2009-01-07,0.0,0.0,0.0
505,2009-01-05,0.05,0.35,0.92
499,2009-01-07,-0.1,0.31,-0.88
502,2009-01-07,0.12,0.43,0.86
503,2009-01-05,0.17,0.54,0.99
482,2009-01-07,0.07,0.34,-0.3
504,2009-01-05,0.05,0.35,0.92
