date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-11-02,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-03,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-04,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-05,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-06,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-07,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-08,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-09,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-10,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-11,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-12,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-13,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-14,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-15,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-16,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-17,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-18,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
2008-11-19,332.70,538.40,29.6,0.85,"-1,817.40",,-205.7,0.85,332.70,538.40,
