date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-08-18,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-19,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-20,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-21,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-22,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-23,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-24,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-25,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-26,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-27,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-28,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-29,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-30,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-08-31,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-01,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-02,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-03,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-04,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-05,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-06,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-07,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-08,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-09,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-10,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-11,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-12,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-13,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-14,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-15,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-16,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-17,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-18,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-19,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-20,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-21,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-22,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-23,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-24,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-25,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-26,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-27,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
2008-09-28,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
