shap_value,feature
-8.723663250097001e-07,trend_sma_fast_50
-8.778199907663475e-07,trend_stc
-8.778254110533453e-07,momentum_ppo_hist_10
-8.87209372244271e-07,momentum_kama_100
-8.996209629077889e-07,momentum_pvo_5
-9.073629637070615e-07,momentum_ao_5
-9.126035593778628e-07,volatility_kcl_100
-9.28722608699745e-07,trend_sma_slow_20
-9.688001004367178e-07,expenditure_yrly
-9.74288508127345e-07,trend_mass_index_50
-9.789691002525183e-07,trend_ichimoku_b
-9.920186663492532e-07,volatility_dcl_5
-1.0027230242755047e-06,trend_kst_sig_20
-1.01059935584767e-06,trend_ichimoku_base
-1.0927599178360166e-06,volatility_kchi
-1.1029191432433777e-06,volatility_bbl
-1.1037567925642117e-06,volume_vwap_10
-1.1061027616219403e-06,treasury_yeild_10_years_percent_change
-1.1436423290899084e-06,volatility_kcl_200
-1.191637133454711e-06,volatility_bbli_10
-1.2042534946195586e-06,volatility_bbm_10
-1.2333651117706442e-06,depreciation_and_amortisation_expense_yrly
-1.4145255873425271e-06,volatility_kchi_5
-1.4352687338133598e-06,momentum_tsi_5
-1.511606563081046e-06,momentum_stoch_rsi_10
-1.5670909736886964e-06,momentum_rsi_200
-1.5928150368080202e-06,trend_psar_down_indicator_200
-1.592884926825752e-06,volatility_dcm_5
-1.607705160418549e-06,momentum_stoch_signal_5
-1.6667089503707426e-06,momentum_stoch_200
-1.7318511328229504e-06,exceptional_item_yrly
-1.838367321930194e-06,agg_subjectivity
-1.957171387780644e-06,volatility_dcl_100
-2.0095707522157164e-06,volume_nvi_100
-2.0324135841372337e-06,volatility_kcli_100
-2.0538235462883285e-06,momentum_ppo_signal_20
-2.056742468363711e-06,trend_vortex_ind_diff_100
-2.0805269574012883e-06,trend_ema_fast_10
-2.1348650983219304e-06,volatility_atr_5
-2.138610190878794e-06,trend_cci_20
-2.1752341608166225e-06,topic_subjectivity
-2.1985848958044047e-06,trend_adx_10
-2.239155490014175e-06,volume_fi
-2.2537423063332148e-06,volume_vpt_10
-2.364897964960173e-06,trend_ichimoku_b_100
-2.3979890103632864e-06,usdx-index_percent_change
-2.406760553926413e-06,trend_ichimoku_a_200
-2.4179431024101436e-06,trend_cci
-2.4240521465216254e-06,others_cr
-2.475365272762228e-06,momentum_tsi_100
-2.4873181112893355e-06,trend_dpo_50
-2.552105331130729e-06,momentum_stoch_rsi_d_100
-2.5928467238972046e-06,inr=x_percent_change
-2.632859029796274e-06,trend_visual_ichimoku_a
-2.6404252008470042e-06,momentum_kama_20
-2.699875211787317e-06,volatility_bbw_5
-2.705272997837903e-06,momentum_ppo_signal_100
-2.9031009819715026e-06,trend_vortex_ind_pos_10
-2.9468737267798123e-06,diluted_eps_qtr
-3.1228678986195292e-06,volume_obv_5
-3.1241956959737235e-06,momentum_kama
-3.2111166696298866e-06,trend_aroon_down_200
-3.2274979266275543e-06,volume_fi_50
-3.3808616603661727e-06,volume_fi_20
-3.4309986948954595e-06,volume_adi_50
-3.525070277982343e-06,profit_after_interest_but_before_exceptional_items_qtr
-3.563508554676199e-06,volatility_ui_200
-3.7531959845552497e-06,trend_psar_up_indicator_50
-3.860143906913565e-06,trend_visual_ichimoku_b
-3.861777419044164e-06,trend_macd_signal_100
-3.981670143910099e-06,volume_cmf_50
-4.057068565654079e-06,trend_stc_20
-4.164356995835216e-06,volatility_kcw_5
-4.310316370467475e-06,volatility_bbm
-4.404613451483635e-06,trend_dpo_5
-4.411496294984035e-06,trend_vortex_ind_diff_20
-4.492647810434503e-06,trend_adx_pos_100
-4.541755683223854e-06,volatility_kcli_200
-4.561893261388808e-06,momentum_pvo
-4.61834074652687e-06,trend_ichimoku_b_10
-4.657801173834642e-06,trend_trix_50
-4.689399744719593e-06,expenditure_qtr
-4.801617624029166e-06,volatility_bbh
-4.895707729428259e-06,momentum_stoch_5
-4.943286785863577e-06,trend_mass_index_5
-4.962421724511103e-06,trend_macd_diff
-4.976171976966928e-06,equity_capital_qtr
-5.036414269574249e-06,trend_ichimoku_b_200
-5.059638230960889e-06,momentum_ao_200
-5.096557578715437e-06,momentum_stoch_rsi_50
-5.143053840958592e-06,momentum_ao_20
-5.4787983284560966e-06,volatility_dch_20
-5.59833652028502e-06,low
-5.697297132167199e-06,momentum_stoch_signal_10
-5.779700055551827e-06,trend_kst_200
-5.998636990374537e-06,trend_ema_fast_50
-6.021325702573024e-06,others_cr_5
-6.227720462360776e-06,momentum_uo_5
-6.4552959155662055e-06,trend_aroon_up_200
-6.50119278956925e-06,trend_aroon_ind_50
-7.334281910865675e-06,trend_adx_pos
-9.444810532575566e-06,trend_kst_diff_5
-9.980330705863132e-06,momentum_pvo_signal_200
