Scrip Code,COMPANY,ISIN No.,Close Price
540755,General Insurance Corporation of India,INE481Y01014,188.1
507815,Gillette India Ltd,INE322A01010,4514
543245,Gland Pharma Ltd,INE068V01023,1023.65
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,1414.6
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,640.65
543654,Global Health Ltd,INE474Q01031,637.85
505255,GMM Pfaudler Limited,INE541A01023,1512.45
532754,GMR Airports Infrastructure Ltd,INE776C01039,42.6
500163,Godfrey Phillips India Ltd,INE260B01028,1717
540743,Godrej Agrovet Ltd,INE850D01014,455.45
532424,Godrej Consumer Products Ltd,INE102D01028,1066.55
500164,Godrej Industries Ltd,INE233A01035,503.8
533150,Godrej Properties Ltd,INE484J01027,1521.35
532482,Granules India Ltd,INE101D01020,294.45
509488,Graphite India Ltd.,INE371A01025,415.15
500300,Grasim Industries Ltd,INE047A01021,1759.7
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,747.95
506076,Grindwell Norton Ltd,INE536A01023,2162.5
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,680.85
524226,Gujarat Ambuja Exports Ltd,INE036B01030,250.1
542812,Gujarat Fluorochemicals Ltd,INE09N301011,3164.4
539336,Gujarat Gas Ltd,INE844O01030,473.3
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,588.5
533248,Gujarat Pipavav Port Ltd,INE517F01014,114.25
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,159.9
532702,Gujarat State Petronet Ltd,INE246F01010,297.05
543227,Happiest Minds Technologies Ltd,INE419U01012,916.7
531531,Hatsun Agro Products Ltd,INE473B01035,922.9
517354,Havells India Ltd,INE176B01034,1336.5
532281,HCL Technologies Ltd,INE860A01027,1137.55
541729,HDFC Asset Management Company Ltd,INE127D01025,1891.1
500180,HDFC Bank Ltd,INE040A01034,1603.65
540777,HDFC Life Insurance Company Ltd,INE795G01014,626.45
509631,HEG Ltd,INE545A01016,1631.65
500292,HeidelbergCement India Ltd.,INE578A01017,176.2
500182,Hero MotoCorp Ltd,INE158A01026,2782.45
500183,HFCL Ltd,INE548A01028,68.54
524735,Hikal Ltd.,INE475B01022,322.6
500440,Hindalco Industries Ltd,INE038A01020,426.3
541154,Hindustan Aeronautics Ltd,INE066F01012,3892.5
513599,Hindustan Copper,INE531E01026,114.5
500104,Hindustan Petroleum Corp Ltd,INE094A01015,272.85
500696,Hindustan Unilever Ltd,INE030A01027,2680.65
500188,Hindustan Zinc Ltd,INE267A01025,307
543187,Hitachi Energy India Ltd,INE07Y701011,4116.6
522215,HLE Glascoat Ltd,INE461D01028,659.5
543259,Home First Finance Company India Ltd,INE481N01025,826.05
517174,Honeywell Automation India Ltd,INE671A01010,42443.65
540530,Housing and Urban Development Corporation Ltd,INE031A01017,59.36
500010,Housing Development Finance Corp,INE001A01036,2654.95
532174,ICICI Bank Ltd,INE090A01021,922.85
540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,1259.4
540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,549.05
541179,ICICI Securities Ltd,INE763G01038,518.65
500116,IDBI Bank Ltd,INE008A01015,54.62
539437,IDFC First Bank Ltd,INE092T01019,81.27
532659,IDFC Limited,INE043D01016,106.89
505726,IFB Industries Ltd,INE559A01017,809.8
532636,IIFL Finance Ltd,INE530B01024,516.65
