Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,59.20000076293945,59.20000076293945,57.75,57.849998474121094,56.1062126159668,105184
2022-07-26,57.900001525878906,59.650001525878906,56.54999923706055,57.0,55.281837463378906,224707
2022-07-27,56.54999923706055,57.900001525878906,55.599998474121094,56.25,54.554443359375,415944
2022-07-28,57.0,58.04999923706055,56.79999923706055,57.849998474121094,56.1062126159668,165574
2022-07-29,58.45000076293945,59.20000076293945,58.04999923706055,58.599998474121094,56.8336067199707,205304
2022-08-01,59.349998474121094,61.70000076293945,59.04999923706055,61.54999923706055,59.69468688964844,529652
2022-08-02,62.45000076293945,62.599998474121094,60.45000076293945,62.25,60.37358474731445,139766
2022-08-03,61.650001525878906,62.45000076293945,60.5,60.95000076293945,59.11277389526367,264664
2022-08-04,61.95000076293945,61.95000076293945,60.150001525878906,61.54999923706055,59.69468688964844,137856
2022-08-05,61.400001525878906,64.19999694824219,61.20000076293945,62.900001525878906,61.00399398803711,470061
2022-08-08,62.900001525878906,63.79999923706055,62.54999923706055,63.599998474121094,61.682891845703125,235645
2022-08-10,64.5,67.5,64.5,66.3499984741211,64.3499984741211,581643
2022-08-11,65.9000015258789,67.19999694824219,65.0,65.6500015258789,65.6500015258789,367012
2022-08-12,65.69999694824219,65.94999694824219,64.25,64.5,64.5,102021
2022-08-16,64.30000305175781,66.0,63.349998474121094,65.8499984741211,65.8499984741211,462144
2022-08-17,65.94999694824219,66.6500015258789,64.69999694824219,65.9000015258789,65.9000015258789,324157
2022-08-18,66.0,66.55000305175781,65.1500015258789,65.9000015258789,65.9000015258789,166891
2022-08-19,66.3499984741211,68.44999694824219,65.8499984741211,66.5,66.5,633808
2022-08-22,65.5999984741211,67.0,64.75,65.75,65.75,173950
2022-08-23,65.05000305175781,68.44999694824219,65.05000305175781,67.8499984741211,67.8499984741211,497037
2022-08-24,67.05000305175781,69.44999694824219,67.05000305175781,69.05000305175781,69.05000305175781,565771
2022-08-25,69.0999984741211,70.75,67.8499984741211,68.44999694824219,68.44999694824219,638947
2022-08-26,69.0,69.75,68.5999984741211,69.19999694824219,69.19999694824219,181012
